"","Driver_Id","max_rides_to_city","Avg_dist","Total_dist"
"103",55189,"NEW BEDFORD",6.50115606936416,2249.4
"104",55320,"DANBURY",48.725,15494.55
"105",55381,"DENTON",80.7775,969.33
"106",55412,"CHICAGO",161.185591397849,29980.52
"107",55443,"FREDERICK",10.7777101449275,3718.31
"108",55300,"NESCONSET",46.7553005464481,8556.22
"109",55413,"SAN FRANCISCO",8.43818181818182,928.2
"110",55744,"SAULT STE MARIE",11.165625,178.65
"111",55559,"LOS ANGELES",17.8166666666667,4489.8
"112",55708,"HAMILTON",9.16782608695652,210.86
"113",55693,"SAN FRANCISCO",31.2728155339806,12884.4
"114",55484,"Rochester",55.4689240506329,8764.09
"115",55596,"New Haven",31.9789473684211,607.6
"116",55622,"DENVER",58.8812727272727,12953.88
"117",55691,"DENVER",29.0085844748858,6352.88
"118",55993,"PORTLAND",26.5067231638418,4691.69
"119",56042,"MIAMI",7.43205882352941,505.38
"120",55816,"IRVINE",NA,0
"121",55852,"WALNUT CREEK",13.9764705882353,237.6
"122",56108,"CYPRESS",27.78376,3472.97
"123",55908,"LOS ANGELES",45.520625,8011.63
"124",55997,"PORTLAND",46.6488659793814,9049.88
"125",55780,"DALLAS",45.7070491803279,11152.52
"126",55989,"CAMBRIDGE",106.801287878788,14097.77
"127",55915,"MINNEAPOLIS",193.106818181818,12745.05
"128",55755,"BALTIMORE",6.23409523809524,654.58
"129",56153,"NASHVILLE",0,0
"130",56221,"ATLANTA",41.5026459143969,10666.18
"131",56222,"GREENVILLE",0,0
"132",56197,"New York",57.1614141414141,5658.98
"133",56115,"Pensacola",237.691215469613,43022.11
"134",56189,"BIRMINGHAM",0,0
"135",56157,"DAYTON",14.6471238938053,3310.25
"136",56174,"ATLANTA",45.8028301886792,4855.1
"137",56122,"BAY SHORE",41.5565492957747,5901.03
"138",56292,"ATLANTA",0,0
"139",56370,"NASHVILLE",0,0
"140",56414,"Columbus",85.7565579710145,23668.81
"141",56415,"COLUMBUS",71.880625,24151.89
"142",56234,"MARIETTA",0,0
"143",56453,"Plymouth",26.7539726027397,1953.04
"144",56319,"KENNESAW",1.45521739130435,133.88
"145",56358,"KATY",12.2952573529412,3344.31
"146",56228,"Miami",9.36,9.36
