"","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_status","tenure(in_days)","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"14",1,0,2,1,1,14,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,0,0,12,12,0.5,0.5,0.5,0.5,2,1
"15",1,100,1,1,1,224,28,54,54,64,667.142857142857,732.351851851852,732.351851851852,792.375,18680,39547,39547,50712,667.142857142857,732.351851851852,732.351851851852,792.375,18680,39547,39547,50712,0,0,0,0,0,0,0,0,11.3928571428571,12.9074074074074,12.9074074074074,13.96875,319,697,697,894,0.678571428571429,0.622641509433962,0.622641509433962,0.571428571428571,3,0
"16",1,0,2,1,1,244,29,83,161,212,0,1.92771084337349,1.3167701863354,1,0,160,212,212,0,1.92771084337349,1.3167701863354,1,0,160,212,212,0,0,0,0,0,0,0,0,10.3448275862069,10.0843373493976,9.41614906832298,9.30660377358491,300,837,1516,1973,0.689655172413793,0.746987951807229,0.708074534161491,0.702830188679245,3,0
"17",1,0,2,1,1,210,0,4,6,9,0,271,180.666666666667,120.444444444444,0,1084,1084,1084,0,271,180.666666666667,120.444444444444,0,1084,1084,1084,0,0,0,0,0,0,0,0,0,1,1.66666666666667,2.11111111111111,0,4,10,19,0.5,1,1,1,3,0
"18",1,100,1,2,1,236,5,26,49,97,1129.004,944.624615384615,797.191428571429,878.587731958763,5645.02,24560.24,39062.38,85223.01,994.444,893.748461538462,764.064081632653,861.64793814433,4972.22,23237.46,37439.14,83579.85,134.56,50.8761538461538,33.1273469387755,16.939793814433,672.8,1322.78,1623.24,1643.16,13.6,10.6538461538462,9.20408163265306,10.2474226804124,68,277,451,994,1,0.782608695652174,0.828571428571429,0.65,3,0
"19",1,100,1,2,2,36,0,0,9,20,0,0,1059.51555555556,999.397,0,0,9535.64,19987.94,0,0,1052.58,996.276,0,0,9473.22,19925.52,0,0,6.93555555555556,3.121,0,0,62.42,62.42,0,0,12.6666666666667,11.85,0,0,114,237,0.5,0.5,0.875,0.722222222222222,1,1
"20",1,0,2,1,1,245,29,84,172,231,0,1.95238095238095,7.88372093023256,6.52813852813853,0,164,1356,1508,0,1.95238095238095,7.88372093023256,6.52813852813853,0,164,1356,1508,0,0,0,0,0,0,0,0,9.37931034482759,8.47619047619048,7.01744186046512,6.67532467532468,272,712,1207,1542,0.689655172413793,0.634146341463415,0.765060240963855,0.751131221719457,3,0
"21",1,100,1,2,1,67,0,0,6,39,0,0,672,868.615384615385,0,0,4032,33876,0,0,672,868.615384615385,0,0,4032,33876,0,0,0,0,0,0,0,0,0,0,11.5,15.8205128205128,0,0,69,617,0.5,0.5,0.333333333333333,0.58974358974359,1,1
"22",1,100,1,1,1,245,26,79,157,210,953.269230769231,1044.92151898734,978.189299363057,971.196095238095,24785,82548.8,153575.72,203951.18,953.269230769231,1026.02987341772,966.772484076433,962.660666666667,24785,81056.36,151783.28,202158.74,0,18.8916455696203,11.4168152866242,8.53542857142857,0,1492.44,1792.44,1792.44,15.4615384615385,16.5696202531646,15.8216560509554,15.7904761904762,402,1309,2484,3316,0.5,0.5,0.5,0.5,3,0
"23",1,0,2,2,1,241,4,8,67,102,0,0,0.358208955223881,0.235294117647059,0,0,24,24,0,0,0.358208955223881,0.235294117647059,0,0,24,24,0,0,0,0,0,0,0,0,7.25,6.625,8.01492537313433,8.14705882352941,29,53,537,831,0.25,0.4,0.645161290322581,0.690721649484536,3,0
"24",1,0,2,1,1,245,24,66,140,193,30.8333333333333,18.6666666666667,16.6857142857143,17.5336787564767,740,1232,2336,3384,30.8333333333333,18.6666666666667,16.6857142857143,17.5336787564767,740,1232,2336,3384,0,0,0,0,0,0,0,0,2.20833333333333,2.5,3.25714285714286,3.74093264248705,53,165,456,722,0.75,0.806451612903226,0.840909090909091,0.815384615384615,3,0
"25",1,100,1,2,2,76,0,0,11,52,0,0,536.727272727273,858.461538461538,0,0,5904,44640,0,0,536.727272727273,858.461538461538,0,0,5904,44640,0,0,0,0,0,0,0,0,0,0,8.54545454545454,15.6538461538462,0,0,94,814,0.5,0.5,0.636363636363636,0.490196078431373,1,1
"26",1,100,1,1,2,245,27,80,143,198,832.481481481482,816.8125,916.804195804196,1140.74242424242,22477,65345,131103,225867,832.481481481482,816.8125,916.804195804196,1140.74242424242,22477,65345,131103,225867,0,0,0,0,0,0,0,0,5.44444444444444,5.7625,6.91608391608392,8.55555555555556,147,461,989,1694,0.842105263157895,0.689655172413793,0.740740740740741,0.696774193548387,3,0
"27",1,100,1,1,2,245,26,80,160,215,1107.61538461538,1181.0625,1168.25625,1204.97674418605,28798,94485,186921,259070,1107.61538461538,1181.0625,1168.25625,1204.97674418605,28798,94485,186921,259070,0,0,0,0,0,0,0,0,17.0769230769231,18.9,19.10625,19.8279069767442,444,1512,3057,4263,0.846153846153846,0.65,0.643312101910828,0.606635071090047,3,0
"28",1,100,1,1,2,128,0,0,40,58,0,0,1235.7,1312.89655172414,0,0,49428,76148,0,0,1235.7,1312.89655172414,0,0,49428,76148,0,0,0,0,0,0,0,0,0,0,9.475,9.82758620689655,0,0,379,570,0.5,0.5,0.617647058823529,0.607843137254902,4,0
"29",1,100,1,1,2,25,8,8,8,8,741.125,741.125,741.125,741.125,5929,5929,5929,5929,741.125,741.125,741.125,741.125,5929,5929,5929,5929,0,0,0,0,0,0,0,0,12.25,12.25,12.25,12.25,98,98,98,98,0.75,0.75,0.75,0.75,2,0
"30",1,0,3,1,1,17,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6153846153846,21.6153846153846,21.6153846153846,0,281,281,281,0.5,0.5,0.5,0.5,2,0
"32",1,0,2,1,1,245,30,84,168,228,1.06666666666667,2.28571428571429,3.95238095238095,5.26315789473684,32,192,664,1200,1.06666666666667,2.28571428571429,3.95238095238095,5.26315789473684,32,192,664,1200,0,0,0,0,0,0,0,0,6.86666666666667,6.52380952380952,6.13095238095238,6.41228070175439,206,548,1030,1462,0.8,0.85,0.792207792207792,0.788732394366197,3,0
"33",1,0,2,1,1,239,24,70,133,165,15.6666666666667,9.48571428571429,4.99248120300752,5.23636363636364,376,664,664,864,15.6666666666667,9.48571428571429,4.99248120300752,5.23636363636364,376,664,664,864,0,0,0,0,0,0,0,0,8.625,8.31428571428571,8.02255639097744,8.13939393939394,207,582,1067,1343,0.434782608695652,0.538461538461538,0.524590163934426,0.496732026143791,3,0
"34",1,0,2,1,1,245,27,84,170,229,0,0.952380952380952,1.10588235294118,1.79912663755459,0,80,188,412,0,0.952380952380952,1.10588235294118,1.79912663755459,0,80,188,412,0,0,0,0,0,0,0,0,8.62962962962963,7.91666666666667,8.11176470588235,8.41484716157205,233,665,1379,1927,0.653846153846154,0.703703703703704,0.763636363636364,0.713004484304933,3,0
"35",1,100,1,1,1,245,21,74,148,204,947.257142857143,1009.8972972973,1004.36756756757,1024.23725490196,19892.4,74732.4,148646.4,208944.4,824.571428571429,961.297297297297,964.837837837838,989.137254901961,17316,71136,142796,201784,122.685714285714,48.6,39.5297297297297,35.1,2576.4,3596.4,5850.4,7160.4,12.8095238095238,14.472972972973,14.6283783783784,15.1078431372549,269,1071,2165,3082,0.428571428571429,0.513513513513513,0.472972972972973,0.467980295566502,3,0
"36",1,100,1,2,1,245,30,88,175,236,935.8,1023.39772727273,1006.10285714286,1041,28074,90059,176068,245676,935.8,1023.39772727273,1006.10285714286,1041,28074,90059,176068,245676,0,0,0,0,0,0,0,0,15.1333333333333,16.6931818181818,16.88,17.7584745762712,454,1469,2954,4191,0.6,0.546511627906977,0.482558139534884,0.452586206896552,3,0
"37",1,100,1,1,1,245,29,86,177,235,1597.25448275862,1587.01720930233,1534.72440677966,1533.01519148936,46320.38,136483.48,271646.22,360258.57,1591.18551724138,1583.8311627907,1531.7413559322,1530.35136170213,46144.38,136209.48,271118.22,359632.57,6.06896551724138,3.18604651162791,2.98305084745763,2.66382978723404,176,274,528,626,17.6896551724138,17.3372093023256,16.5932203389831,17.0510638297872,513,1491,2937,4007,0.5,0.539473684210526,0.551282051282051,0.502369668246445,3,0
"38",1,100,1,2,1,245,22,53,108,147,786.5,727.738867924528,870.452407407407,909.365170068027,17303,38570.16,94008.86,133676.68,786.5,723.889811320755,867.785740740741,902.535238095238,17303,38366.16,93720.86,132672.68,0,3.84905660377358,2.66666666666667,6.82993197278912,0,204,288,1004,9.45454545454546,9.73584905660377,11.75,12.0816326530612,208,516,1269,1776,1,1,0.363636363636364,0.363636363636364,3,0
"39",1,100,1,1,2,79,0,0,15,62,0,0,869.4,848.032258064516,0,0,13041,52578,0,0,869.4,848.032258064516,0,0,13041,52578,0,0,0,0,0,0,0,0,0,0,15.4,15.0161290322581,0,0,231,931,0.5,0.5,0.769230769230769,0.813559322033898,1,1
"40",1,0,3,1,1,129,4,12,17,17,9720.005,9045.00166666667,9851.22235294118,9851.22235294118,38880.02,108540.02,167470.78,167470.78,9720.005,9045.00166666667,9851.22235294118,9851.22235294118,38880.02,108540.02,167470.78,167470.78,0,0,0,0,0,0,0,0,1.25,1.08333333333333,1.17647058823529,1.17647058823529,5,13,20,20,0.5,0.5,0.5,0.5,4,0
"41",1,100,1,1,1,216,20,62,121,142,537.239,554.502258064516,649.790247933884,664.221690140845,10744.78,34379.14,78624.62,94319.48,537.239,550.814516129032,647.900661157025,662.611549295775,10744.78,34150.5,78395.98,94090.84,0,3.68774193548387,1.8895867768595,1.61014084507042,0,228.64,228.64,228.64,5.45,5.2741935483871,6.1900826446281,6.2887323943662,109,327,749,893,0.722222222222222,0.830188679245283,0.683168316831683,0.683333333333333,3,0
"42",1,100,1,1,2,71,0,0,7,46,0,0,1257.14571428571,1272.53782608696,0,0,8800.02,58536.74,0,0,1257.14571428571,1272.53782608696,0,0,8800.02,58536.74,0,0,0,0,0,0,0,0,0,0,9.57142857142857,9,0,0,67,414,0.5,0.5,0,0.4,1,1
"44",1,100,1,2,1,245,19,71,139,190,1182.52736842105,1005.79830985915,976.296402877698,966.047052631579,22468.02,71411.68,135705.2,183548.94,1135.15894736842,990.992676056338,962.903884892086,956.042,21568.02,70360.48,133843.64,181647.98,47.3684210526316,14.8056338028169,13.3925179856115,10.0050526315789,900,1051.2,1861.56,1900.96,8.10526315789474,6.98591549295775,7.48920863309352,7.48421052631579,154,496,1041,1422,1,0.928571428571429,0.892857142857143,0.898305084745763,3,0
"45",1,0,3,2,1,1,0,0,1,1,0,0,520,520,0,0,520,520,0,0,520,520,0,0,520,520,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0.5,0.5,0.5,0.5,2,1
"46",1,100,1,1,2,101,0,0,2,5,0,0,780,784,0,0,1560,3920,0,0,780,764.4,0,0,1560,3822,0,0,0,19.6,0,0,0,98,0,0,6,12.4,0,0,12,62,0.5,0.5,0,0.5,4,1
