"","X1","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"138",146,54927,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,54927,131,2017-11-18,0,0,0,14,0,0,0,1139.71428571429,0,0,0,15956,0,0,0,452.857142857143,0,0,0,6340,0,0,0,686.857142857143,0,0,0,9616,0,0,0,11,0,0,0,154,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"139",147,54934,"HOLBROOK","NY",1,100,"COMMISSION","1",1,107,54934,79,2017-11-30,0,0,0,2,0,0,0,914.02,0,0,0,1828.04,0,0,0,914.02,0,0,0,1828.04,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,15,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"140",148,54940,"ASHEVILLE","NC",1,100,"COMMISSION","Not Specified",0,236,54940,1,2017-11-18,0,0,0,1,0,0,0,1830,0,0,0,1830,0,0,0,1224,0,0,0,1224,0,0,0,606,0,0,0,606,0,0,0,16,0,0,0,16,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"141",149,54942,"ASHEVILLE","NC",1,100,"COMMISSION","Not Specified",0,236,54942,169,2017-11-16,0,0,0,115,0,0,0,1387.78260869565,0,0,0,159595,0,0,0,870.704347826087,0,0,0,100131,0,0,0,517.078260869565,0,0,0,59464,0,0,0,11.8434782608696,0,0,0,1362,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"142",150,54945,"ASHEVILLE","NC",1,100,"COMMISSION","Not Specified",0,236,54945,171,2017-11-18,0,0,0,103,0,0,0,1394.91262135922,0,0,0,143676,0,0,0,892.601941747573,0,0,0,91938,0,0,0,502.31067961165,0,0,0,51738,0,0,0,11.4563106796117,0,0,0,1180,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"143",151,54946,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,54946,114,2017-11-18,0,0,0,13,0,0,0,1405.53846153846,0,0,0,18272,0,0,0,756.615384615385,0,0,0,9836,0,0,0,648.923076923077,0,0,0,8436,0,0,0,11.4615384615385,0,0,0,149,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"144",152,54947,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,54947,161,2017-11-08,0,0,0,105,0,0,0,1114.00952380952,0,0,0,116971,0,0,0,656.676190476191,0,0,0,68951,0,0,0,457.333333333333,0,0,0,48020,0,0,0,11.7904761904762,0,0,0,1238,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"145",153,54959,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,54959,57,2017-07-27,0,0,0,42,0,0,0,1130.2619047619,0,0,0,47471,0,0,0,645.785714285714,0,0,0,27123,0,0,0,484.47619047619,0,0,0,20348,0,0,0,10.952380952381,0,0,0,460,0.5,0.5,0.5,0.5,"less than or equal to 3 month",TRUE
"146",154,54973,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,54973,171,2017-11-18,0,0,0,121,0,0,0,1130.31404958678,0,0,0,136768,0,0,0,690.925619834711,0,0,0,83602,0,0,0,439.388429752066,0,0,0,53166,0,0,0,11.8677685950413,0,0,0,1436,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"147",155,54995,"MCDONOUGH","GA",1,100,"COMMISSION","Not Specified",1,107,54995,1,2017-07-10,0,0,0,1,0,0,0,1248,0,0,0,1248,0,0,0,1248,0,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"148",156,54998,"NEW YORK","NY",1,100,"COMMISSION","Not Specified",1,107,54998,183,2017-12-30,0,0,0,87,0,0,0,1112.55172413793,0,0,0,96792,0,0,0,1088.41379310345,0,0,0,94692,0,0,0,24.1379310344828,0,0,0,2100,0,0,0,11.8965517241379,0,0,0,1035,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"149",157,55007,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,55007,170,2017-11-17,0,0,0,77,0,0,0,1160.48051948052,0,0,0,89357,0,0,0,572.220779220779,0,0,0,44061,0,0,0,588.25974025974,0,0,0,45296,0,0,0,11.9350649350649,0,0,0,919,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"150",158,55018,"ONTARIO","CA",1,100,"COMMISSION","1",1,107,55018,2,2017-09-29,0,0,0,2,0,0,0,255.4,0,0,0,510.8,0,0,0,255.4,0,0,0,510.8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"151",159,55020,"LOS ANGELES","CA",1,100,"COMMISSION","Not Specified",1,107,55020,213,2017-12-30,0,0,0,171,0,0,0,816.502923976608,0,0,0,139622,0,0,0,816.502923976608,0,0,0,139622,0,0,0,0,0,0,0,0,0,0,0,15.5789473684211,0,0,0,2664,0.5,0.5,0.5,0.414285714285714,"more than 6 month",FALSE
