"","X1","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"501",533,58783,"SAINT PAUL","MN",1,100,"COMMISSION","Not Specified",1,107,58783,196,2017-12-31,0,0,0,181,0,0,0,866.838839779006,0,0,0,156897.83,0,0,0,866.209337016575,0,0,0,156783.89,0,0,0,0.629502762430939,0,0,0,113.94,0,0,0,6.40883977900552,0,0,0,1160,0.5,0.5,0.5,0.75,"more than 6 month",FALSE
"502",534,58785,"SAINT PAUL","MN",1,100,"COMMISSION","1",1,107,58785,98,2017-09-24,0,0,0,75,0,0,0,782.663066666667,0,0,0,58699.73,0,0,0,782.663066666667,0,0,0,58699.73,0,0,0,0,0,0,0,0,0,0,0,9.13333333333333,0,0,0,685,0.5,0.5,0.5,0.5,"less than or equal to 6 month",TRUE
"503",535,58819,"FT MYERS","FL",1,100,"COMMISSION","1",0,236,58819,1,2017-10-03,0,0,0,1,0,0,0,518,0,0,0,518,0,0,0,518,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"504",536,58845,"GRETNA","NE",1,100,"COMMISSION","1",1,107,58845,213,2017-12-30,0,0,0,137,0,0,0,790.686715328467,0,0,0,108324.08,0,0,0,762.529343065693,0,0,0,104466.52,0,0,0,28.1573722627737,0,0,0,3857.56,0,0,0,7.60583941605839,0,0,0,1042,0.5,0.5,0.5,0.825,"more than 6 month",FALSE
"505",537,58853,"PATERSON","NJ",1,100,"COMMISSION","Not Specified",0,236,58853,21,2017-06-23,0,0,0,5,0,0,0,71.176,0,0,0,355.88,0,0,0,71.176,0,0,0,355.88,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,6,0.5,0.5,0.5,0.333333333333333,"less than or equal to a month",TRUE
"506",538,58854,"STEPHENS CITY","VA",1,100,"COMMISSION","1",1,107,58854,214,2017-12-31,0,0,0,177,0,0,0,667.672316384181,0,0,0,118178,0,0,0,667.672316384181,0,0,0,118178,0,0,0,0,0,0,0,0,0,0,0,11.0564971751412,0,0,0,1957,0.5,0.5,0.5,0.572649572649573,"more than 6 month",FALSE
"507",539,58855,"STEPHENS CITY","VA",1,100,"COMMISSION","1",1,107,58855,214,2017-12-31,0,0,0,132,0,0,0,688.575757575758,0,0,0,90892,0,0,0,688.575757575758,0,0,0,90892,0,0,0,0,0,0,0,0,0,0,0,12.2575757575758,0,0,0,1618,0.5,0.5,0.5,0.557522123893805,"more than 6 month",FALSE
"508",540,58866,"CRANSTON","RI",1,100,"COMMISSION","Not Specified",1,107,58866,3,2017-08-23,0,0,0,3,0,0,0,843.333333333333,0,0,0,2530,0,0,0,719.333333333333,0,0,0,2158,0,0,0,124,0,0,0,372,0,0,0,17,0,0,0,51,0.5,0.5,0.5,0.333333333333333,"less than or equal to a month",TRUE
"509",541,58909,"PATERSON","NJ",1,100,"COMMISSION","Not Specified",0,236,58909,65,2017-11-22,0,0,0,44,0,0,0,706.204545454545,0,0,0,31073,0,0,0,706.204545454545,0,0,0,31073,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,396,0.5,0.5,0.5,0.545454545454545,"less than or equal to 3 month",FALSE
"510",542,58910,"PATERSON","NJ",1,100,"COMMISSION","1",0,236,58910,174,2017-11-22,0,0,0,88,0,0,0,729.238636363636,0,0,0,64173,0,0,0,729.238636363636,0,0,0,64173,0,0,0,0,0,0,0,0,0,0,0,9.40909090909091,0,0,0,828,0.5,0.5,0.5,0.511904761904762,"less than or equal to 6 month",FALSE
"511",543,58911,"PATERSON","NJ",1,100,"COMMISSION","1",0,236,58911,24,2017-06-26,0,0,0,12,0,0,0,825.666666666667,0,0,0,9908,0,0,0,825.666666666667,0,0,0,9908,0,0,0,0,0,0,0,0,0,0,0,9.91666666666667,0,0,0,119,0.5,0.5,0.5,0.272727272727273,"less than or equal to a month",TRUE
"512",544,58932,"FT MYERS","FL",1,100,"COMMISSION","1",0,236,58932,114,2017-09-22,0,0,0,62,0,0,0,824.516129032258,0,0,0,51120,0,0,0,824.516129032258,0,0,0,51120,0,0,0,0,0,0,0,0,0,0,0,14.8064516129032,0,0,0,918,0.5,0.5,0.5,0.610169491525424,"less than or equal to 6 month",TRUE
"513",545,58956,"BRONX<U+00A0>","NY",1,100,"COMMISSION","1",0,236,58956,1,2017-06-02,0,0,0,1,0,0,0,873.24,0,0,0,873.24,0,0,0,873.24,0,0,0,873.24,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"514",546,58965,"WARREN","OH",1,100,"COMMISSION","Not Specified",0,236,58965,206,2017-12-23,0,0,0,65,0,0,0,617.913692307692,0,0,0,40164.39,0,0,0,542.739230769231,0,0,0,35278.05,0,0,0,75.1744615384615,0,0,0,4886.34,0,0,0,12.7076923076923,0,0,0,826,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"515",547,58966,"HOUSTON","TX",1,100,"COMMISSION","1",1,107,58966,173,2017-11-25,0,0,0,22,0,0,0,555.818181818182,0,0,0,12228,0,0,0,555.818181818182,0,0,0,12228,0,0,0,0,0,0,0,0,0,0,0,4.04545454545455,0,0,0,89,0.5,0.5,0.5,0.833333333333333,"less than or equal to 6 month",FALSE
"516",548,58970,"HOUSTON","TX",1,100,"COMMISSION","1",1,107,58970,213,2017-12-30,0,0,0,162,0,0,0,888.222222222222,0,0,0,143892,0,0,0,888.222222222222,0,0,0,143892,0,0,0,0,0,0,0,0,0,0,0,6.59259259259259,0,0,0,1068,0.5,0.5,0.5,0.741007194244604,"more than 6 month",FALSE
"517",550,58980,"ONTARIO","CA",1,100,"COMMISSION","1",1,107,58980,212,2017-12-29,0,0,0,188,0,0,0,601.516755319149,0,0,0,113085.15,0,0,0,601.391223404255,0,0,0,113061.55,0,0,0,0.125531914893617,0,0,0,23.6,0,0,0,9.45744680851064,0,0,0,1778,0.5,0.5,0.5,0.82,"more than 6 month",FALSE
"518",551,59021,"LAWRENCEVILLE","GA",1,100,"COMMISSION","Not Specified",0,236,59021,107,2017-09-15,0,0,0,71,0,0,0,922.85014084507,0,0,0,65522.36,0,0,0,912.732394366197,0,0,0,64804,0,0,0,10.1177464788732,0,0,0,718.36,0,0,0,15.1830985915493,0,0,0,1078,0.5,0.5,0.5,0.5,"less than or equal to 6 month",TRUE
"519",552,59024,"CHARLOTTE","NC",1,100,"COMMISSION","Not Specified",0,236,59024,171,2017-11-18,0,0,0,33,0,0,0,1164.75757575758,0,0,0,38437,0,0,0,683.181818181818,0,0,0,22545,0,0,0,481.575757575758,0,0,0,15892,0,0,0,11.0909090909091,0,0,0,366,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"520",553,59036,"KENT","WA",1,100,"COMMISSION","Not Specified",1,107,59036,58,2017-12-24,0,0,0,45,0,0,0,1145.02977777778,0,0,0,51526.34,0,0,0,221.019555555556,0,0,0,9945.88,0,0,0,924.010222222222,0,0,0,41580.46,0,0,0,3.24444444444444,0,0,0,146,0.5,0.5,0.5,0.923076923076923,"less than or equal to 3 month",FALSE
"521",556,59063,"WARREN","OH",1,100,"COMMISSION","Not Specified",1,107,59063,212,2017-12-30,0,0,0,128,0,0,0,706.886484375,0,0,0,90481.47,0,0,0,450.52328125,0,0,0,57666.98,0,0,0,256.363203125,0,0,0,32814.49,0,0,0,11.78125,0,0,0,1508,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"522",557,59072,"PATERSON<U+00A0>","NJ",1,100,"COMMISSION","Not Specified",0,236,59072,11,2017-06-12,0,0,0,10,0,0,0,845.641,0,0,0,8456.41,0,0,0,845.641,0,0,0,8456.41,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,139,0.5,0.5,0.5,0.625,"less than or equal to a month",TRUE
"523",558,59073,"CRETE","IL",1,100,"COMMISSION","Not Specified",1,107,59073,28,2017-12-22,0,0,0,17,0,0,0,855.614117647059,0,0,0,14545.44,0,0,0,855.614117647059,0,0,0,14545.44,0,0,0,0,0,0,0,0,0,0,0,9.29411764705882,0,0,0,158,0.5,0.5,0.5,0.818181818181818,"less than or equal to a month",FALSE
"524",559,59077,"PLAINFIELD","NJ",1,100,"COMMISSION","Not Specified",1,107,59077,214,2017-12-31,0,0,0,188,0,0,0,869.526595744681,0,0,0,163471,0,0,0,869.117021276596,0,0,0,163394,0,0,0,0.409574468085106,0,0,0,77,0,0,0,14.3723404255319,0,0,0,2702,0.5,0.5,0.5,0.602150537634409,"more than 6 month",FALSE
"525",561,59079,"CRETE","IL",1,100,"COMMISSION","1",1,107,59079,209,2017-12-30,0,0,0,141,0,0,0,803.668085106383,0,0,0,113317.2,0,0,0,775.412765957447,0,0,0,109333.2,0,0,0,28.2553191489362,0,0,0,3984,0,0,0,5.0354609929078,0,0,0,710,0.5,0.5,0.5,0.894230769230769,"more than 6 month",FALSE
"526",562,59093,"AURORA","ON",1,0,"DAILY","1",1,107,59093,213,2017-12-30,0,0,0,167,0,0,0,2.49101796407186,0,0,0,416,0,0,0,2.49101796407186,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,8.73652694610778,0,0,0,1459,0.5,0.5,0.5,0.706586826347305,"more than 6 month",FALSE
"527",563,59094,"CUMBERLAND","MD",1,100,"COMMISSION","1",1,107,59094,126,2017-12-31,0,0,0,83,0,0,0,485.012048192771,0,0,0,40256,0,0,0,485.012048192771,0,0,0,40256,0,0,0,0,0,0,0,0,0,0,0,8.73493975903614,0,0,0,725,0.5,0.5,0.5,0.658227848101266,"less than or equal to 6 month",FALSE
"528",564,59117,"MIAMI","FL",1,100,"COMMISSION","Not Specified",0,236,59117,94,2017-09-02,0,0,0,24,0,0,0,660.114583333333,0,0,0,15842.75,0,0,0,660.114583333333,0,0,0,15842.75,0,0,0,0,0,0,0,0,0,0,0,13.2083333333333,0,0,0,317,0.5,0.5,0.5,0.5,"less than or equal to 6 month",TRUE
"529",565,59119,"EASTVALE","CA",1,100,"COMMISSION","1",0,236,59119,79,2017-12-05,0,0,0,10,0,0,0,771.8,0,0,0,7718,0,0,0,771.8,0,0,0,7718,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,164,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"530",566,59120,"LA HABRA","CA",1,100,"COMMISSION","1",0,236,59120,202,2017-12-19,0,0,0,150,0,0,0,794.193333333333,0,0,0,119129,0,0,0,794.193333333333,0,0,0,119129,0,0,0,0,0,0,0,0,0,0,0,15.8866666666667,0,0,0,2383,0.5,0.5,0.5,0.645161290322581,"more than 6 month",FALSE
"531",567,59122,"SNELLEVILLE","GA",1,100,"COMMISSION","Not Specified",1,107,59122,213,2017-12-30,0,0,0,177,0,0,0,1242.19661016949,0,0,0,219868.8,0,0,0,1228.41807909605,0,0,0,217430,0,0,0,13.7785310734463,0,0,0,2438.8,0,0,0,7.6045197740113,0,0,0,1346,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"532",568,59129,"FRESNO","CA",1,100,"COMMISSION","Not Specified",0,236,59129,80,2017-08-19,0,0,0,80,0,0,0,675.45,0,0,0,54036,0,0,0,675.45,0,0,0,54036,0,0,0,0,0,0,0,0,0,0,0,11.6375,0,0,0,931,0.5,0.5,0.5,0.631578947368421,"less than or equal to 3 month",TRUE
"533",569,59130,"ANTIOCH","TN",1,100,"COMMISSION","1",1,107,59130,212,2017-12-29,0,0,0,128,0,0,0,541.108125,0,0,0,69261.84,0,0,0,525.789375,0,0,0,67301.04,0,0,0,15.31875,0,0,0,1960.8,0,0,0,4.671875,0,0,0,598,0.5,0.5,0.5,0.888888888888889,"more than 6 month",FALSE
"534",570,59150,"BROOKLYN PARK","MN",1,100,"COMMISSION","Not Specified",1,107,59150,213,2017-12-30,0,0,0,159,0,0,0,749.217924528302,0,0,0,119125.65,0,0,0,726.728490566038,0,0,0,115549.83,0,0,0,22.4894339622642,0,0,0,3575.82,0,0,0,10.7421383647799,0,0,0,1708,0.5,0.5,0.5,0.847457627118644,"more than 6 month",FALSE
"535",571,59154,"BROOKLYN PARK","MN",1,100,"COMMISSION","Not Specified",0,236,59154,141,2017-10-19,0,0,0,98,0,0,0,854.748469387755,0,0,0,83765.35,0,0,0,817.832142857143,0,0,0,80147.55,0,0,0,36.9163265306122,0,0,0,3617.8,0,0,0,11.1734693877551,0,0,0,1095,0.5,0.5,0.5,0.804597701149425,"less than or equal to 6 month",FALSE
"536",572,59159,"BROOKLYN","NY",1,100,"COMMISSION","Not Specified",1,107,59159,185,2017-12-17,0,0,0,3,0,0,0,686.04,0,0,0,2058.12,0,0,0,686.04,0,0,0,2058.12,0,0,0,0,0,0,0,0,0,0,0,9.33333333333333,0,0,0,28,0.5,0.5,0.5,1,"more than 6 month",FALSE
"537",573,59168,"MIDDLEBURY","VT",1,100,"COMMISSION","1",0,236,59168,9,2017-06-12,0,0,0,5,0,0,0,449.8,0,0,0,2249,0,0,0,449.8,0,0,0,2249,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,72,0.5,0.5,0.5,0,"less than or equal to a month",TRUE
"538",574,59175,"SILVER SPRING","MD",1,100,"COMMISSION","1",1,107,59175,212,2017-12-29,0,0,0,115,0,0,0,711.04347826087,0,0,0,81770,0,0,0,711.04347826087,0,0,0,81770,0,0,0,0,0,0,0,0,0,0,0,12.1739130434783,0,0,0,1400,0.5,0.5,0.5,0.666666666666667,"more than 6 month",FALSE
"539",575,59178,"ROMEOVILLE","IL",1,100,"COMMISSION","1",1,107,59178,211,2017-12-28,0,0,0,163,0,0,0,1167.78466257669,0,0,0,190348.9,0,0,0,1017.88319018405,0,0,0,165914.96,0,0,0,149.901472392638,0,0,0,24433.94,0,0,0,12.1411042944785,0,0,0,1979,0.5,0.5,0.5,0.808823529411765,"more than 6 month",FALSE
"540",576,59210,"AMITYVILLE","NY",1,100,"COMMISSION","Not Specified",1,107,59210,74,2017-11-28,0,0,0,65,0,0,0,781.566461538462,0,0,0,50801.82,0,0,0,780.459384615385,0,0,0,50729.86,0,0,0,1.10707692307692,0,0,0,71.96,0,0,0,9.52307692307692,0,0,0,619,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"541",577,59211,"WOBURN","MA",1,100,"COMMISSION","1",1,107,59211,89,2017-10-02,0,0,0,15,0,0,0,554.666666666667,0,0,0,8320,0,0,0,554.666666666667,0,0,0,8320,0,0,0,0,0,0,0,0,0,0,0,5.53333333333333,0,0,0,83,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"542",578,59217,"DUNCANVILLE","TX",1,100,"COMMISSION","Not Specified",0,236,59217,41,2017-07-11,0,0,0,15,0,0,0,762.218666666667,0,0,0,11433.28,0,0,0,752.218666666667,0,0,0,11283.28,0,0,0,10,0,0,0,150,0,0,0,12.6,0,0,0,189,0.5,0.5,0.5,0.5,"less than or equal to 3 month",TRUE
"543",579,59227,"JOLIET","IL",1,100,"COMMISSION","Not Specified",1,107,59227,210,2017-12-27,0,0,0,139,0,0,0,1179.97820143885,0,0,0,164016.97,0,0,0,1166.69503597122,0,0,0,162170.61,0,0,0,13.2831654676259,0,0,0,1846.36,0,0,0,10.1870503597122,0,0,0,1416,0.5,0.5,0.5,0.833333333333333,"more than 6 month",FALSE
"544",580,59228,"CENTRAL ISLIP","NY",1,100,"COMMISSION","1",1,107,59228,213,2017-12-30,0,0,0,176,0,0,0,1148.89772727273,0,0,0,202206,0,0,0,1148.89772727273,0,0,0,202206,0,0,0,0,0,0,0,0,0,0,0,17.8579545454545,0,0,0,3143,0.5,0.5,0.5,0.543859649122807,"more than 6 month",FALSE
"545",581,59232,"NEW BALTIMORE","MI",1,100,"COMMISSION","Not Specified",0,236,59232,79,2017-08-18,0,0,0,79,0,0,0,1153.92405063291,0,0,0,91160,0,0,0,1153.92405063291,0,0,0,91160,0,0,0,0,0,0,0,0,0,0,0,15.9620253164557,0,0,0,1261,0.5,0.5,0.5,0.441558441558442,"less than or equal to 3 month",TRUE
"546",582,59245,"WOBURN","MA",1,100,"COMMISSION","Not Specified",1,107,59245,1,2017-09-29,0,0,0,1,0,0,0,1040,0,0,0,1040,0,0,0,1040,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"547",583,59246,"WOBURN","MA",1,100,"COMMISSION","Not Specified",1,107,59246,1,2017-09-29,0,0,0,1,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"548",584,59268,"WOBURN","MA",1,100,"COMMISSION","Not Specified",1,107,59268,1,2017-08-21,0,0,0,1,0,0,0,390,0,0,0,390,0,0,0,390,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"549",585,59270,"DAYTON","TX",1,100,"COMMISSION","1",0,236,59270,3,2017-06-03,0,0,0,3,0,0,0,3076.78,0,0,0,9230.34,0,0,0,3076.78,0,0,0,9230.34,0,0,0,0,0,0,0,0,0,0,0,10.6666666666667,0,0,0,32,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"550",587,59277,"SURREY,BC,V3S2B5","BC",1,100,"COMMISSION","Not Specified",1,107,59277,1,2017-11-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"551",588,59285,"CANTON","OH",1,0,"WEEKLY","1",1,107,59285,70,2017-10-27,0,0,0,48,0,0,0,515.583333333333,0,0,0,24748,0,0,0,515.583333333333,0,0,0,24748,0,0,0,0,0,0,0,0,0,0,0,5.625,0,0,0,270,0.5,0.5,0.5,0.75,"less than or equal to 3 month",FALSE
"552",589,59287,"BOSTON","MA",1,100,"COMMISSION","1",1,107,59287,213,2017-12-30,0,0,0,146,0,0,0,1077.86301369863,0,0,0,157368,0,0,0,1076.78767123288,0,0,0,157211,0,0,0,1.07534246575342,0,0,0,157,0,0,0,11.7602739726027,0,0,0,1717,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"553",590,59302,"HOUSTON","TX",1,100,"COMMISSION","Not Specified",0,236,59302,107,2017-10-14,0,0,0,12,0,0,0,534,0,0,0,6408,0,0,0,534,0,0,0,6408,0,0,0,0,0,0,0,0,0,0,0,12.6666666666667,0,0,0,152,0.5,0.5,0.5,0.833333333333333,"less than or equal to 6 month",FALSE
"554",591,59305,"PROVIDENCE","RI",1,100,"COMMISSION","Not Specified",1,107,59305,210,2017-12-28,0,0,0,143,0,0,0,1733.9251048951,0,0,0,247951.29,0,0,0,1733.9251048951,0,0,0,247951.29,0,0,0,0,0,0,0,0,0,0,0,16.2657342657343,0,0,0,2326,0.5,0.5,0.5,0.557377049180328,"more than 6 month",FALSE
"555",592,59306,"NEW BALTIMORE","MI",1,100,"COMMISSION","Not Specified",0,236,59306,79,2017-08-18,0,0,0,78,0,0,0,1143.35897435897,0,0,0,89182,0,0,0,1143.35897435897,0,0,0,89182,0,0,0,0,0,0,0,0,0,0,0,16.0128205128205,0,0,0,1249,0.5,0.5,0.5,0.597402597402597,"less than or equal to 3 month",TRUE
"556",593,59307,"CAMDEN","NJ",1,100,"COMMISSION","Not Specified",1,107,59307,213,2017-12-30,0,0,0,173,0,0,0,864.884393063584,0,0,0,149625,0,0,0,864.884393063584,0,0,0,149625,0,0,0,0,0,0,0,0,0,0,0,11.1965317919075,0,0,0,1937,0.5,0.5,0.5,0.406060606060606,"more than 6 month",FALSE
"557",594,59309,"SNELLVILLE","GA",1,100,"COMMISSION","Not Specified",1,107,59309,212,2017-12-29,0,0,0,170,0,0,0,1224.17823529412,0,0,0,208110.3,0,0,0,1163.77647058824,0,0,0,197842,0,0,0,60.4017647058823,0,0,0,10268.3,0,0,0,7.28823529411765,0,0,0,1239,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"558",595,59319,"ROMULUS","MI",1,100,"COMMISSION","1",1,107,59319,213,2017-12-30,0,0,0,190,0,0,0,996.077421052632,0,0,0,189254.71,0,0,0,916.656368421053,0,0,0,174164.71,0,0,0,79.4210526315789,0,0,0,15090,0,0,0,11.5210526315789,0,0,0,2189,0.5,0.5,0.5,0.426966292134831,"more than 6 month",FALSE
"559",596,59320,"PHILADELPHIA","PA",1,100,"COMMISSION","1",0,236,59320,213,2017-12-30,0,0,0,121,0,0,0,1444.74363636364,0,0,0,174813.98,0,0,0,1431.71884297521,0,0,0,173237.98,0,0,0,13.0247933884298,0,0,0,1576,0,0,0,4.04132231404959,0,0,0,489,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"560",597,59327,"SPRINGFIELD","MA",1,100,"COMMISSION","Not Specified",0,236,59327,181,2017-12-23,0,0,0,63,0,0,0,759.873015873016,0,0,0,47872,0,0,0,759.873015873016,0,0,0,47872,0,0,0,0,0,0,0,0,0,0,0,12.1746031746032,0,0,0,767,0.5,0.5,0.5,0.573770491803279,"more than 6 month",FALSE
"561",598,59328,"SHELBY TWP","MI",1,100,"COMMISSION","Not Specified",1,107,59328,30,2017-07-04,0,0,0,8,0,0,0,738,0,0,0,5904,0,0,0,881.5,0,0,0,7052,0,0,0,-143.5,0,0,0,-1148,0,0,0,14.375,0,0,0,115,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"562",599,59332,"WEEHAWKIN","NJ",1,100,"COMMISSION","Not Specified",0,236,59332,119,2017-09-27,0,0,0,107,0,0,0,632.663551401869,0,0,0,67695,0,0,0,633.383177570093,0,0,0,67772,0,0,0,-0.719626168224299,0,0,0,-77,0,0,0,11.3084112149533,0,0,0,1210,0.5,0.5,0.5,0.350515463917526,"less than or equal to 6 month",TRUE
"563",600,59334,"HOUSTON","TX",1,100,"COMMISSION","Not Specified",0,236,59334,39,2017-07-10,0,0,0,29,0,0,0,1013.1724137931,0,0,0,29382,0,0,0,959.241379310345,0,0,0,27818,0,0,0,53.9310344827586,0,0,0,1564,0,0,0,12.1034482758621,0,0,0,351,0.5,0.5,0.5,0.5,"less than or equal to 3 month",TRUE
"564",601,59344,"WOONSOCKET","RI",1,100,"COMMISSION","Not Specified",1,107,59344,1,2017-06-21,0,0,0,1,0,0,0,776.22,0,0,0,776.22,0,0,0,776.22,0,0,0,776.22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"565",602,59352,"FITCHBURG","MA",1,100,"COMMISSION","1",1,107,59352,213,2017-12-30,0,0,0,175,0,0,0,1981.33394285714,0,0,0,346733.44,0,0,0,1981.27737142857,0,0,0,346723.54,0,0,0,0.0565714285714286,0,0,0,9.9,0,0,0,12.48,0,0,0,2184,0.5,0.5,0.5,0.621301775147929,"more than 6 month",FALSE
"566",603,59353,"FITCHBURG","MA",1,100,"COMMISSION","1",1,107,59353,1,2017-11-01,0,0,0,1,0,0,0,1582.26,0,0,0,1582.26,0,0,0,1582.26,0,0,0,1582.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"567",604,59360,"LAPLACE","LA",1,100,"COMMISSION","1",1,107,59360,209,2017-12-30,0,0,0,161,0,0,0,1394.63826086957,0,0,0,224536.76,0,0,0,886.695155279503,0,0,0,142757.92,0,0,0,507.943105590062,0,0,0,81778.84,0,0,0,11.5962732919255,0,0,0,1867,0.5,0.5,0.5,0.844155844155844,"more than 6 month",FALSE
"568",605,59362,"OKLAHOMA CITY","OK",1,100,"COMMISSION","1",1,107,59362,212,2017-12-29,0,0,0,102,0,0,0,473.960784313725,0,0,0,48344,0,0,0,470.137254901961,0,0,0,47954,0,0,0,3.82352941176471,0,0,0,390,0,0,0,1.93137254901961,0,0,0,197,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"569",606,59365,"SANTA MARIA","CA",1,100,"COMMISSION","1",1,107,59365,213,2017-12-30,0,0,0,150,0,0,0,1082.60213333333,0,0,0,162390.32,0,0,0,1079.8288,0,0,0,161974.32,0,0,0,2.77333333333333,0,0,0,416,0,0,0,4.20666666666667,0,0,0,631,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"570",607,59366,"OROVILLE","CA",1,100,"COMMISSION","1",1,107,59366,213,2017-12-30,0,0,0,77,0,0,0,464.909090909091,0,0,0,35798,0,0,0,424,0,0,0,32648,0,0,0,40.9090909090909,0,0,0,3150,0,0,0,1.71428571428571,0,0,0,132,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"571",608,59380,"SPRINGFIELD","CT",1,100,"COMMISSION","1",1,107,59380,214,2017-12-31,0,0,0,196,0,0,0,869.469387755102,0,0,0,170416,0,0,0,869.469387755102,0,0,0,170416,0,0,0,0,0,0,0,0,0,0,0,13.9897959183673,0,0,0,2742,0.5,0.5,0.5,0.494845360824742,"more than 6 month",FALSE
"572",609,59384,"YORK","PA",1,100,"COMMISSION","1",0,236,59384,1,2017-07-20,0,0,0,1,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"573",610,59385,"HENSLEY","AR",1,100,"COMMISSION","1",1,107,59385,107,2017-12-14,0,0,0,8,0,0,0,354.5,0,0,0,2836,0,0,0,350.75,0,0,0,2806,0,0,0,3.75,0,0,0,30,0,0,0,1.25,0,0,0,10,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"574",612,59388,"ANCHORAGE","AK",1,100,"COMMISSION","1",1,107,59388,208,2017-12-29,0,0,0,81,0,0,0,1404.46419753086,0,0,0,113761.6,0,0,0,1394.33086419753,0,0,0,112940.8,0,0,0,10.1333333333333,0,0,0,820.8,0,0,0,1.5679012345679,0,0,0,127,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"575",613,59389,"ERIE","PA",1,100,"COMMISSION","1",1,107,59389,53,2017-07-27,0,0,0,6,0,0,0,161.663333333333,0,0,0,969.98,0,0,0,73.6633333333333,0,0,0,441.98,0,0,0,88,0,0,0,528,0,0,0,1.5,0,0,0,9,0.5,0.5,0.5,0.5,"less than or equal to 3 month",TRUE
"576",614,59399,"DORR","MI",1,100,"COMMISSION","1",1,107,59399,212,2017-12-29,0,0,0,160,0,0,0,1029.905125,0,0,0,164784.82,0,0,0,1023.155125,0,0,0,163704.82,0,0,0,6.75,0,0,0,1080,0,0,0,4.20625,0,0,0,673,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
